"Prefix","Number","Title","Hours","Description","Unk","Taught"
"HIST","4330","The Holocaust","3","Study of the political, social, historical, and cultural events leading to and constituting the Holocaust.  Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","4331","Holocaust and Representation","3","Study of the depiction and representation of the Holocaust in art, literature, poetry, and film.","3-0","T"
"HIST","4344","Topics in European History","3","Subject matter will vary from semester to semester. May be repeated for credit (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4345","Origins of the Jim Crow South","3","An examination of the origins of segregation and disfranchisement in the American South following Reconstruction through World War II. Attention will be paid to both the legal and extralegal edifices upholding white supremacy and the evolution of a racist consumer culture. The course will also explore African-American resistance to Jim Crow. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4346","American Culture 1877 - 1919","3","A survey of the Gilded Age or Progressive Era, 1877 - 1919. Themes will include expansion of industrial capitalism, the influx of ""new immigrants"" and patterns of ""Americanization,"" middle-class social reform, emergence of the U.S. as an imperial power, explosion of nativist and racist sentiments, and the political mobilization of labor. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4357","Topics in African and African-American History","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4358","Topics in Asian History","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4359","Topics in Latin American History","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4360","Topics in American Women's History","3","Subject matter will vary from semester to semester and may include Women and the American Frontier, Popular Culture and Mass Media, and American Religious Societies. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","4376","Topics in History","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4377","Topics in Early American History","3","Focuses on the formative era of the American nation. Social, cultural, political, and economic issues are examined within the context of important transformations over time. Topics will vary and may include British Colonial America (1609-1763), The Era of the American Revolution, and The Early American Republic (1785-1828). May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","4378","Topics in American History","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4380","Topics in Intellectual History","3","Subject matter will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","4399","Senior Honors in Historical Studies","3","Intended for students conducting independent research for honors theses or projects. Prerequisite: Signature of the instructor on proposed project outline required.","3-0","R"
"HIST","4V71","Independent Study in Historical Studies","1-3","Independent study under a faculty member's direction. May be repeated for credit (9 hours maximum). Permission of the instructor required.","[1-3]-0","R"
"HIST","6301","Historiography","3","Graduate-level introduction to the practice and forms of written history. Required of all students in the M.A. program in History, this course examines the ways in which historians have conceived of their craft, the centrality of interpretation to the historical process, and the use of a variety of methods and theories in the study of the past.","3-0","Y"
"HIST","6310","Early American History","3","The study of specific themes and/or periods in American history through the American Revolution. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HIST","6320","America in the Nineteenth Century","3","The study of specific themes and/or periods in American history in the nineteenth century. Topics may include the Civil War and Reconstruction. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HIST","6324","Gilded Age & Progressive Era","3","The study of social, political, and economic life in the period between 1877 and 1919. Special attention to the relationship between government and society.","3-0","T"
"HIST","6325","America in the Twentieth Century","3","The study of specific themes and/or periods of American history in the twentieth century. Topics may include World War I, World War II, and the Civil Rights Era. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HIST","6326","U.S. Foreign Relations","3","The study of U.S. diplomatic relations with Asia, Africa, Europe, Latin America, the Middle East, and Soviet Russia in the twentieth and twenty-first centuries.","3-0","T"
"HIST","6327","U.S. Since 1945","3","The study of the political, economic, social, and cultural development of the United States since the end of World War II.","3-0","T"
"HIST","6330","Regional and Area History in the United States","3","The study of themes related to the history of specific regions of the United States, for example the South, the Southwest, and Texas. Topics may vary. (May be repeated for credit to a maximum of 6 credit hours.)","3-0","T"
"HIST","6332","Slavery in America","3","The study of the origins, evolution, growth and destruction of racial slavery in America from 1619-1865.","3-0","T"
"HIST","6333","Rise of the Jim Crow South","3","The study of the origins of segregation and disfranchisement in the New South. Explores historiographical debates about the nature and meaning of Jim Crow.","3-0","T"
"HIST","6335","U.S. Women","3","The study of recent historiography, current methods, and major themes in U.S. women's and gender history.","3-0","T"
"HIST","6340","European and World History","3","The study of specific themes and/or periods in the history of Europe and the world. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HIST","6350","Asian History","3","The study of specific themes and/or periods in the history of Asia. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HIST","6360","Latin American History","3","The study of specific themes and/or periods in the history of Latin America. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HIST","6365","Mexican History","3","The study of specific themes and/or periods in the history of Mexico. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HIST","6370","Middle Eastern History","3","The study of specific themes and/or periods in the history of the Middle East. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HIST","6390","Topics in History","3","The study of specific themes and/or periods in history. (May be repeated for credit as topic vary to a maximum of 9 hours.)","3-0","R"
"HIST","6395","Special Topics in History","3","If taken as an independent studies course may count toward minimum course requirements for the M.A. degree.  (May be repeated for credit to a maximum of 9 hours.)","3-0","R"
"HIST","6397","Independent Readings in History","3"," (May be repeated for credit.)","3-0","R"
"HIST","6398","Independent Research in History","3"," (May be repeated for credit.)","3-0","R"
"HIST","6399","Master's Thesis","3","(May be repeated for credit but only 6 hours will be counted toward M.A.)","3-0","R"
"HUAS","6303","Performance Literature, Theory, and Criticism","3","Examination of a wide range of performance and theatrical traditions and texts. Using various critical and theoretical perspectives, the focus will be on the interplay between textual analysis, theoretical and critical frames, and performance. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6305","Criticism, Interpretation, and Performance","3","An investigation of the interrelationship among the activities of criticizing, interpreting, and performing artistic texts. Examples may be drawn from literature, theater, performance art, web and inter-media applications, film/video, music, and the visual arts. The course will include an exploration of the effects of various cultural and theoretical perspectives on our response to specific works.","3-0","T"
"HUAS","6310","Introduction to Film Studies","3","Study of the history and formal and stylistic elements of cinema as a medium of expression, as an industry, and as an art form; and an introduction to the tenets and theoretical basis of the academic discipline known as film studies.","3-0","T"
"HUAS","6312","Art and Society","3","Study of the many forms of interaction between the arts and the society in which they exist. Topics may include the role of the artist in society, the representation of social and religious values in art, or the influence of art and the artist upon society. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6313","The Business of the Arts","3","Exploration of effective means to find, create, and manage markets and audiences for works of art. Topics may include digital media, visual or performing arts, museum studies, and arts management. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","T"
"HUAS","6315","The Arts in Historical Contexts","3","Studies in one or more arts of various places and historical periods. Topics will vary, but may focus on a particular movement (e.g., Surrealism), a specific era (e.g., the Renaissance), or a place (e.g., Paris in the early twentieth century). (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","Y"
"HUAS","6317","Art and Authorship","3","Study of the role of the maker in the creation of art. Topics vary but may include visual artists, filmmakers, composers, writers, or other artists. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6318","The Arts and Their Institutions","3","Studies of the institutions that shape and present the visual and performing arts by providing their physical, administrative, and financial ""frames"": art museums, theaters, symphony associations, performance consortiums, or private foundations. The course will focus selectively on these institutions, grouping them for study in various ways depending on the interests and expertise of the instructor. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6320","Studies in Experimental Traditions","3","Studies in the works of artists whose experimentation with forms of expression breaks new ground in the arts and demands changes in the aesthetic perception of the public. The course will focus on such experimental movements as modernism, postmodernism and various avant-gardes that form the new tradition of the contemporary arts. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6324","Spaces of Display and Performance","3","Usually art works and performances are encountered in specific ritualized spaces designed for them and exerting strong influence on their character. The course will address such spaces critically from the point of view of architecture, theories of display, and concepts of ritual spectatorship.","3-0","T"
"HUAS","6330","Studies in the Visual Arts","3","Explorations in various forms of the visual arts. The course may focus on a specific form (e.g., painting, sculpture, film, photography) or interrelations among visual forms. Emphasis will be on the understanding of the creative process underlying the finished work. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6331","Studies in Music","3","Studies in forms of musical expression. Topics will vary, but the course will emphasize the nature, development, and artistic possibilities of various forms of music. Courses may relate music to developments in other arts. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6333","Advanced Orchestra/Chamber Music Ensemble","3","Workshop in which instrumentalists, singers, dancers, actors, composers, lyricists, visual artists and/or video/performance artists create and perform music for small and larger ensembles, plus multi-media and theater works. (May be repeated for credit to a maximum of 9 credit hours.) Permission of instructor required.","3-0","T"
"HUAS","6334","Iberian Culture and Music","3","Study of the transfer of music and culture between Spain, Portugal, and the countries of the Americas which had close connections to the Iberian countries via language, culture, and commerce.","3-0","T"
"HUAS","6336","Photography Studio/Seminar","3","Workshop-based course designed to foster reflection on the relationship between human perception and the photographic mediation of reality. The course may emphasis photographic processes or conceptual frameworks.  (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6337","Digital Photography","3","Workshop in which students explore digital photography within the context of contemporary art, emphasizing the relationship between digital imaging processes and color photographic techniques. (May be repeated for credit to a maximum of 6 credit hours.)","3-0","T"
"HUAS","6339","Painting/Digital Imaging/Video","3","Workshop in which students will pursue creative work in a medium of their preference or expertise (can include painting, drawing, digital imaging, video or hybrid forms). (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6340","Studies in Theater and Dance","3","An investigation of theater, performance art, inter-media, and/or dance as forms of art. The course will relate to and incorporate trends in other arts and contemporary intellectual and cultural movements, theories and critical issues. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6345","Shakespeare in Performance","3","Studies of Shakespeare's plays, examining varied artistic and scholarly interpretations in film and performance. The course will blend lectures, discussions, and practical skill-based exercises and may include scholarly and/or creative projects. Meant for aspiring writers, actors, directors, and teachers, with or without experience in performing. Topics may vary. (May be repeated for credit to a maximum of 6 semester hours.)","3-0","T"
"HUAS","6347","Solo Performance","3","Workshop in which students explore aspects of devising, writing and performing solos, with an emphasis on developing work in multiple genres, media, and formats. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6348","Performance Installation","3","An exploration of the theory, history, and practice of employing installation and performance art with technology as a means of extending personal artistic practice. Emphasis will be on practical experience in the conceptualization and production of collaborative, experimental, trans-disciplinary artistic expression. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6350","Creating Poetry","3","An investigation in a workshop environment of the aesthetics of the art and creation of poetry, focusing on the creative techniques and processes involved in producing poems and song lyrics in a variety of formalist, free verse, and experimental forms that combine verbal, written art with the visual and performing arts. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6351","Creating Novels","3","An investigation in a workshop environment of the aesthetics of the art and creation of the novel, focusing on the creative techniques and processes involved in producing novels in a variety of lyrical, experimental, and traditional forms that combine verbal, written art with the visual and performing arts. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6352","Creating Television and Movie Scripts","3","An investigation in a workshop environment of the aesthetics of art and creation of movie, multimedia, video, and television scripts, focusing on the creative techniques and processes involved in producing scripts in a variety of experimental and traditional forms that combine verbal, written art with acting, filmmaking, and production. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6353","Creating Plays and Musicals","3","An investigation in a workshop environment of the aesthetics of art and creation of drama, focusing on the creative techniques and processes involved in producing plays and musicals in a variety of experimental and traditional forms that combine verbal, written art with the musical and dramatic arts. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6354","Creating Short Fictions","3","An investigation in a workshop environment of the aesthetics of the art and creation of the short story and the novella, focusing on the creative techniques and processes involved in producing short stories in a variety of experimental and traditional forms that combine verbal, written art with the visual and performing arts. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6355","Creating Nonfictions","3","This workshop will draw from one or several nonfiction genres such as portraiture, historical accounts, essays, biography, and autobiography and will show how they are realized using techniques by the creation of art. Topics may vary but may include visual artists, filmmakers, composers, or other artists. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6373","Studies in Film, Television, and Digital Media","3","Study of aspects of motion picture history, criticism, and aesthetics. Topics may include genre study; documentary practices; national cinemas or movements; theories of reception; or comparisons of these and other art forms. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6375","Imagery and Iconography","3","The study of the visual image and its use. Topics may include the nature of the visual image, our perception and interpretation of visual images, the relation of the visual to the verbal image, and the ways in which visual images are used in art to shape our imagination. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","T"
"HUAS","6377","Critical Theory and the Visual Arts","3","A mapping of the relations between the visual arts and new critical theories from structuralism to post-structuralism. Focus will vary but may include semiotics, deconstruction, feminism, or psychoanalysis. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","T"
"HUAS","6380","Creating Poetry: Intermediate","3","An intensive investigation into the forms (both ancient and modern), theories, and creations of poetry in a workshop environment that will focus on the creative techniques and processes involved in producing formalist, lyrical, free verse, and experimental poetry. Permission of the instructor and previous completion of HUAS 6350 are required. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6381","Creating Fiction: Intermediate","3","An intensive investigation into the theories, aesthetics, and creation of fiction in a workshop environment that will focus both on structure and on creative techniques and creative process involved in producing sophisticated, challenging, and linguistically developed fictions. The course may emphasize the short story, novel, or novella. Permission of the instructor and previous completion of HUAS 6351 or HUAS 6354 are required. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6383","Creating Scripts: Intermediate","3","An intense investigation of the theory, history, aesthetics, art, and creation of play, movie, and television scripts in a workshop environment that will focus on the creative techniques and processes involved not only in the creation of film, play, and television scripts, but also in the production of plays, films, and television episodes. Permission of the instructor and previous completion of either HUAS 6352 or HUAS 6353 required. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6385","Creating Nonfictions: Intermediate","3","An intensive investigation into the theory, aesthetics, and creation of biographies, autobiographies, and historical accounts in a workshop environment that will explore the boundaries between fiction and non-fiction and between art and reality. Permission of the instructor and previous completion of HUAS 6355 are required. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6390","Special Topics in Aesthetic and Performance Studies","3","Independent studies course that may count toward minimum course requirements for the M.A. degree. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","R"
"HUAS","6391","Creativity: Visual Arts Workshop","3","A workshop emphasizing the creation of artistic works in a specific area of the visual arts (e.g., painting, drawing, photography, sculpture). Topics, such as narrative representation or the study of a genre, are explored to examine the theoretical basis guiding practice. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours).","3-0","Y"
"HUAS","6392","Creativity: Image/Text Workshop","3","An exploration of the visual possibilities inherent in the art of the text. Topics may include an investigation of techniques derived from various media that foster the transformation and combination of words and images. The problem of creating text for a visual environment will be examined. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6393","Creativity: Time-Based Arts Workshop","3","Exploration of the conceptual demands inherent in time-based visual art. Topics may include interactive visual arts, installation, kinetic art, computer animation, and video processes. The potential of narrative models may be examined. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","6394","Creativity: Performance","3","A skills-based course intended to enable the exploration, development, and realization of a performance expression. Project-focused, the course may include playwrighting, adaptation of non-dramatic or oral history sources, or be guided by specific text(s), improvisation, inter-cultural or inter-media explorations. Topics may vary. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","Y"
"HUAS","6397","Independent Readings in Aesthetic and Performance Studies","3","(May be repeated for credit.)","3-0","R"
"HUAS","6398","Independent Research in Aesthetic and Performance Studies","3","(May be repeated for credit.)","3-0","R"
"HUAS","6399","Music in Historical Context","3","Study of music in society: dates, periods, genres, style characteristics, major figures, representative masterworks, political/economical/social climate, corollaries in literature, theatre, visual art. (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUAS","6608","Performance Training","6","Intensive workshop-based course focusing on training and performance techniques to develop skills and methods for creating new performance. Activities include physical and vocal training, performance games and exercises, and will focus on methods, strategies, and processes of creation. Special attention to the performer's relation to' text' exploration and evolution. (May be repeated for credit to a maximum of 12 credit hours.)","6-0","T"
"HUAS","6609","Music Performance","6","Applied study of instrumental/vocal techniques, interpretation, repertoire building and performance practice. (May be repeated for credit to a maximum of 12 credit hours) ","6-0","T"
"HUAS","7305","Advanced Topics in Art History","3","Advanced studies in one or more arts of various places and historical periods. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","7320","Advanced Topics in the Visual Arts","3","Advanced explorations in various forms of the visual arts. The course may focus on a specific genre or form or on interrelations among visual forms. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","7330","Advanced Topics in Music","3","Advanced studies in forms of musical expression. The course will emphasize the nature, development, and artistic possibilities of various forms of music. Courses may relate music to developments in other arts. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUAS","7340","Advanced Topics in Theater and Dance","3","Advanced investigation of theater, performance art, inter-media, and/or dance as forms of art. The course will relate to and incorporate trends in other arts and contemporary intellectual and cultural movements, theories and critical issues. (May be repeated as topics vary for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","7350","Advanced Topics in Creative Writing","3","Advanced investigation of the theory, history, aesthetics, art, and creation of creative writing in a workshop environment. The course may focus on poetry, short stories, scripts or other genres. (May be repeated as topics vary for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","7355","Interdisciplinary Studies in Music","3","Study of music in relation to one or more of the other arts/disciplines: literature, theatre, dance, visual art, cinema, history, psychology, technology, etc. (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUAS","7360","Advanced Topics in Film, Television, and Digital Media","3","Advanced study of particular aspects of motion picture history, criticism, and aesthetics. Topics may include genre study; documentary practices; national cinemas or movements; theories of reception; or comparisons of these and other art forms. (May be repeated as topics vary for credit to a maximum of 9 credit hours.)","3-0","T"
"HUAS","7380","Advanced Topics in Aesthetic Studies","3","Advanced study of particular themes, topics, and issues in the various disciplines that constitute aesthetic studies. (May be repeated as topics vary for credit to a maximum of 9 credit hours.)","3-0","R"
"HUAS","7390","Advanced Special Topics in Aesthetic and Performance Studies","3","Independent studies course that may count toward minimum course requirements for the Ph.D. degree. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","R"
"HUAS","7601","Advanced Music Performance","6","Applied study of advanced instrumental/vocal techniques, interpretive insights, repertoire building and historical performance practice. (May be repeated for credit to a maximum of 12 credit hours)","6-0","T"
"HUAS","8303","Independent Readings in Aesthetic and Performance Studies","3","(May be repeated for credit.)","3-0","R"
"HUAS","8305","Independent Research in Aesthetic and Performance Studies","3","(May be repeated for credit.)","3-0","R"
"HUED","5300","The Interdisciplinary Teaching of the Arts and Humanities in the Secondary School","3","Approaches to the interdisciplinary teaching of the arts and humanities at the secondary level. Each student will design a curriculum unit to be taught from an interdisciplinary perspective. Required of students seeking the Master of Arts in Teaching.","3-0","Y"
"HUED","5353","Teaching English as a Second Language","3","Investigation of modern techniques of teaching English as a second language in relation to the general development of language skills (listening, speaking, reading, and writing) in secondary schools. Contributions of modern linguistic science to both theory and practice.","3-0","Y"
"HUED","5360","Teaching Spanish","3","Study of modern theories and practices of teaching Spanish, with a focus on pedagogical applications for students teaching foreign-language skills in secondary schools or community colleges.","3-0","T"
"HUED","6304","Master Of Arts In Teaching Casebook","3","(May be repeated for credit.)","3-0","R"
"HUHI","6300","History of Early Modern Thought","3","Introduction to and examination of the authors and texts influential in shaping Western culture through the eighteenth century. The course will treat philosophy as well as social, political, and religious thought during particular periods. (May be repeated for credit as topics vary to a maximum of 6 hours.)","3-0","T"
"HUHI","6301","History of Modern Thought","3","Introduction to and examination of the authors and texts influential in shaping modern Western culture since 1800. The course will treat philosophy as well as social, political, and religious thought during particular periods. (May be repeated for credit as topics vary to a maximum of 6 hours.)","3-0","T"
"HUHI","6305","Ideas In Contexts","3","The study of an idea or ideas as developed in specific cultural circumstances, for example, the idea of revolution considered in theory as well as in its actualization in the American Revolution, the French Revolution, the Bolshevik Revolution, Maoism, etc. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUHI","6313","Thought, Culture, and Society in Europe","3","Themes in the intellectual and cultural life of European societies. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUHI","6314","Thought, Culture, and Society in the United States","3","Themes in the intellectual and cultural history of the United States. The course will focus on the writings of key thinkers chosen from different periods and on placing these writings within their intellectual and social contexts. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUHI","6315","Thought, Culture, and Society in Latin America","3","Themes in the intellectual and cultural life of Latin American societies. (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUHI","6320","Perceptions of the Past","3","Approaches to perceiving, reconstructing, appreciating, and analyzing the past. Formal historiographical methods, the fictionalization of the past, or the understanding of memory and nostalgia may be emphasized. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","T"
"HUHI","6323","Space, Time, and Culture","3","The study of the relationship between changing philosophic and scientific concepts of space and time and forms of cultural expression such as art, literature, and music.","3-0","T"
"HUHI","6325","Movements in Thought and Culture","3","The study of movements in thought and culture through a variety of perspectives, but emphasizing their intellectual bases: e.g., the Enlightenment, Romanticism, etc. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUHI","6327","Artist and Writer in Society","3","Inquiries into the role of creative artists (e.g., painters, sculptors, musicians, writers, filmmakers) in various places and times. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","T"
"HUHI","6329","Philosophical Issues and the Humanities","3","An investigation of the ways the humanities contribute to an understanding of such philosophical problems as hermeneutics, moral education, life and death, race, gender and sexual orientation, and the environment. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUHI","6332","European Enlightenment","3","The study of the European intellectual movement of the Enlightenment, its precursors and consequences.","3-0","T"
"HUHI","6334","Exploring Urban Cultures","3","The study of the European cities of Berlin, Paris, and London from the mid-nineteenth through the early twentieth century.","3-0","T"
"HUHI","6335","Modern Jewish Thought","3","Study of modern and contemporary Jewish thought, with an emphasis on the relationship between Judaism and philosophy.","3-0","T"
"HUHI","6336","Modernity, Culture, and the Jews","3","The study of the role of Jews in the creation of modern culture, with emphasis on Jewish participation as an area of interaction, exchange, and encounter.","3-0","T"
"HUHI","6337","Moving Pictures in Jewish Culture and Thought","3","The study of the role of Jews in the movie industry from the silent era to contemporary Hollywood production.","3-0","T"
"HUHI","6338","The Holocaust","3","An examination of the event, its background and consequences, with emphasis on the political, psychological, theological, and artistic responses it has engendered. (May be repeated for credit to maximum of 6 credit hours.)","3-0","Y"
"HUHI","6340","Readings in American Culture","3","An examination of the ways in which Americans have defined themselves, and been defined by others, over time. Works read will be drawn from a variety of genres and may include studies of myth and symbol. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUHI","6341","American Intellectual History","3","The study of American thought from the seventeenth century to the present, with a focus on philosophy, political thought, and social thought.","3-0","T"
"HUHI","6342","American Political Cultures","3","An inquiry into the development of political cultures in the United States since the late eighteenth century. Emphasis on how the apparatus of the state (courts, legislatures, elections, schools, asylums, the military) has provided formal frameworks for ongoing cultural contests among diverse Americans over the meanings of citizenship, family, work, property, nature, health, and privacy.","3-0","T"
"HUHI","6343","The American Experience in Vietnam","3","The study of the reaction and response of American society to the political, military, and cultural turmoil engendered by the Vietnam War.","3-0","T"
"HUHI","6344","The 1960s","3","The study of the ""Long Decade"" of the 1960s, from Elvis to the fall of Richard Nixon.  The course will analyze political, economic, social, and cultural developments.","3-0","T"
"HUHI","6345","The Woman Question","3","The study of how particular cultures and/or thinkers have defined the ""woman question."" Subjects may include particular geographical regions, major literary or historical movements and events. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","T"
"HUHI","6346","New Directions in Southern Studies","3","The study of how scholarship on the U.S. South has begun to push the conventional boundaries of the discipline through its focus on the categories of race, gender, sexuality, and transnationalism.","3-0","T"
"HUHI","6347","Topics in Feminist Philosophy","3","Examination of various topics in metaphysics, ethics, philosophy of science, philosophy of language, philosophy of mind, or philosophy of religion from feminist perspectives. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","T"
"HUHI","6348","Thought, Culture, and Society in Asia","3","Themes in the intellectual and cultural life of Asian societies.  (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUHI","6349","Thought, Culture, and Society in the Middle East","3","Themes in the intellectual and cultural life of Middle Eastern societies. (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUHI","6395","Topics in the History of Ideas","3","Topics in philosophy, intellectual and/or cultural history. (May be repeated for credit as topics vary to a maximum of 9 hours.)","3-0","R"
"HUHI","6396","Historical Inquiry","3","A leveling course for graduate students with little background in the field as an advanced introduction to historical study and the history of ideas.","3-0","R"
"HUHI","6397","Independent Readings in History of Ideas","3","(May be repeated for credit.)","3-0","R"
"HUHI","6398","Independent Research in History of Ideas","3","(May be repeated for credit.)","3-0","R"
"HUHI","6399","Special Topics in the History of Ideas","3","Independent studies course that may count toward minimum course requirements for the M.A. degree. (May be repeated for credit as topics vary to a maximum of 9 hours.)","3-0","R"
"HUHI","7313","Advanced Topics in U.S. Thought, Culture, and Society","3","Advanced topics in the intellectual and cultural history of the United States. The course will focus on key thinkers, ideas, schools of thought, or cultural beliefs chosen from different periods and understood within their intellectual and social contexts. (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUHI","7314","Advanced Topics in European Thought, Culture, and Society","3","Advanced topics in the intellectual and cultural life of European societies. (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
"HUHI","7315","Advanced Topics in Thought, Culture, and Society","3","Advanced topics in intellectual and cultural history. The course may focus on different themes, periods, and geographical areas. (May be repeated for credit as topics vary to a maximum of 9 credit hours)","3-0","T"
